sam_n_segments,sam_log_n_segments,sam_dominant_frac,sam_mean_segment_frac,sam_std_segment_frac,sam_size_entropy,sam_coverage_frac,sam_center_bias,sam_edge_density,sam_gradient_magnitude,sam_rms_contrast,sam_mean_compactness,sam_max_compactness,sam_mean_symmetry,image_name,image_id,image_type
29,3.4011973816621555,0.3069759114583333,0.031641747485632185,0.07240707157191838,1.8090885328959498,0.8129459635416667,0.6187542382991762,0.334951171875,0.16989163,0.24989142607937634,0.5528972506662769,0.8275458267375879,0.3091712358018231,1013.jpg,1013,urban
38,3.6635616461296463,0.28287109375,0.026786081414473684,0.05732182286944544,2.4756653584007045,0.8766471354166666,0.5101940979961914,0.12321940104166666,0.06094092,0.3091056907536126,0.5911381107617204,0.8588259334042554,0.41895194986197387,103.jpg,103,urban
50,3.9318256327243257,0.32783854166666665,0.02056848958333334,0.052640243721674425,2.5427327079271884,0.8386881510416667,0.5224890626335201,0.17442057291666666,0.0933194,0.2260453125287098,0.5104785998194872,0.8607599353618255,0.1789039271363355,1033.jpg,1033,urban
47,3.871201010907891,0.365731367370892,0.02250602462291479,0.057031582559855895,2.6289259300439154,0.8819065434272301,0.5629266750387738,0.1334543720657277,0.055641808,0.23490107693716974,0.48424946866359325,0.865102134213383,0.34370889037867697,1047.jpg,1047,urban
24,3.2188758248682006,0.39687821502057613,0.04039455670224623,0.10060258130426733,1.5709927075425854,0.942555619855967,0.6103521886328656,0.10881639017489712,0.03815493,0.16957660486354645,0.4507244789055269,0.7750026908198914,0.3280623653216618,1055.jpg,1055,urban
28,3.367295829986474,0.42804783950617287,0.03308241820069077,0.08735756722441182,1.6663291926274515,0.8808754501028807,0.4980643464478969,0.08397633744855967,0.03580513,0.2941753036992078,0.4445359527628195,0.816793541670885,0.26504279936641756,1056.jpg,1056,urban
24,3.2188758248682006,0.545929439484127,0.036228401951058205,0.11305568312096144,1.2002286695015176,0.8512214781746031,0.5330667518566372,0.07577659970238096,0.03365738,0.20387145969313716,0.48108956964448407,0.7802078746310243,0.2634379469600891,1057.jpg,1057,urban
50,3.9318256327243257,0.27582682291666666,0.030751497395833334,0.060136997071994346,3.482757745066764,0.8920572916666667,0.4451621439794933,0.1685546875,0.08319914,0.30205284174745795,0.5406649656777098,0.8832630706318453,0.41688600441745177,1060.jpg,1060,urban
19,2.995732273553991,0.28026448787061997,0.041512758901971904,0.07209928148109192,1.6219241273792908,0.6794221698113208,0.48611058309798627,0.12849561994609165,0.051796176,0.22568557724181754,0.517720352054148,0.7852699146168953,0.45447573193703245,1066.jpg,1066,urban
38,3.6635616461296463,0.2453307962529274,0.023890669296191297,0.05467435537316136,2.077596917788493,0.8893771955503513,0.5019334618421298,0.13465676229508197,0.06457652,0.23709267428746342,0.5346203644854444,0.83195611104051,0.15100160809091864,1079.jpg,1079,urban
31,3.4657359027997265,0.4695865885416667,0.04758463541666667,0.11017081539615484,2.265644535685643,0.9276920572916667,0.5344013089452333,0.24658854166666666,0.12826535,0.2690451100883916,0.4827390519018167,0.8929914706002277,0.3757132338923461,1085.jpg,1085,urban
22,3.1354942159291497,0.37128255208333333,0.05088408499053033,0.09081019628207876,2.112556675160856,0.9333268229166667,0.5501774750138244,0.12118489583333333,0.042657763,0.20171932482390975,0.5036980996690574,0.7948862234704822,0.49516224128796454,110.jpg,110,urban
44,3.8066624897703196,0.24209674873737375,0.013862255366161619,0.0376552346244197,1.752257960244695,0.5874526515151515,0.49681570298186317,0.21025883838383838,0.11502653,0.2435705046739212,0.4905937151250502,0.7913336405684649,0.16191034980803207,1100.jpg,1100,urban
69,4.248495242049359,0.18196539750957855,0.011704998195346771,0.028224297614576652,2.6077898364657366,0.7182052203065135,0.4955026527442483,0.13928400383141762,0.06296135,0.21739560973493063,0.5664381929469261,0.830238943703154,0.20896262512885133,1101.jpg,1101,urban
49,3.912023005428146,0.23428059895833334,0.018695591517857144,0.0455985286663074,2.332808976435854,0.8124055989583333,0.4867802456015127,0.12017578125,0.059903838,0.2318286628922567,0.488398144646596,0.7661172407575293,0.17217557489095278,1121.jpg,1121,urban
